,X_pos,Y_pos,T_time
0,22.4,23.2,0
1,22.8,23.2,1
2,23.2,23.4,2
3,23.2,23.8,3
4,23.4,24.2,4
5,23.8,24.2,5
6,24.2,24.4,6
7,24.2,24.8,7
8,24.4,25.2,8
9,24.8,25.2,9
10,25.2,25.4,10
11,25.2,25.8,11
12,25.4,26.2,12
13,25.8,26.2,13
14,26.2,26.4,14
15,26.2,26.8,15
16,26.4,27.2,16
17,26.8,27.2,17
18,27.2,27.4,18
19,27.2,27.8,19
20,27.4,28.2,20
21,27.8,28.2,21
22,28.2,28.4,22
23,28.2,28.8,23
24,28.4,29.2,24
25,28.8,29.2,25
26,29.2,29.4,26
27,29.2,29.8,27
28,29.4,30.2,28
29,29.8,30.2,29
30,30.2,30.4,30
31,30.2,30.8,31
32,30.4,31.2,32
33,30.8,31.2,33
34,31.2,31.4,34
35,31.2,31.8,35
36,31.4,32.2,36
37,31.8,32.2,37
38,32.2,32.4,38
39,32.2,32.8,39
40,32.4,33.2,40
41,32.8,33.2,41
42,33.2,33.4,42
43,33.2,33.8,43
44,33.4,34.2,44
45,33.8,34.2,45
46,34.2,34.4,46
47,34.2,34.8,47
48,34.4,35.2,48
49,34.8,35.2,49
50,35.2,35.4,50
51,35.2,35.8,51
52,35.4,36.2,52
53,35.8,36.2,53
54,36.2,36.4,54
55,36.2,36.8,55
56,36.4,37.2,56
57,36.8,37.2,57
58,37.2,37.4,58
59,37.2,37.8,59
60,37.4,38.2,60
61,37.8,38.2,61
62,38.2,38.4,62
63,38.2,38.8,63
64,38.4,39.2,64
65,38.8,39.2,65
66,39.2,39.4,66
67,39.2,39.8,67
68,39.4,40.2,68
69,39.8,40.2,69
70,40.2,40.4,70
71,40.2,40.8,71
72,40.4,41.2,72
73,40.8,41.2,73
74,41.2,41.4,74
75,41.2,41.8,75
76,41.4,42.2,76
77,41.8,42.2,77
78,42.2,42.4,78
79,42.2,42.8,79
80,42.4,43.2,80
81,42.8,43.2,81
82,43.2,43.4,82
83,43.2,43.8,83
84,43.4,44.2,84
85,43.8,44.2,85
86,44.2,44.4,86
87,44.2,44.8,87
88,44.4,45.2,88
89,44.8,45.2,89
90,45.2,45.4,90
91,45.2,45.8,91
92,45.4,46.2,92
93,45.8,46.2,93
94,46.2,46.4,94
95,46.2,46.8,95
96,46.4,47.2,96
97,46.8,47.2,97
98,47.2,47.4,98
99,47.2,47.8,99
100,47.4,48.2,100
101,47.8,48.2,101
102,48.2,48.4,102
103,48.2,38.8,103
104,48.4,29.2,104
105,38.8,29.2,105
106,29.2,19.4,106
107,29.2,19.8,107
108,19.4,10.2,108
109,19.8,10.2,109
110,10.2,10.4,110
111,10.2,0.8,111
112,10.4,1.2,112
113,0.8,1.2,113
114,1.2,1.4,114
115,1.2,1.8,115
116,1.4,2.2,116
117,1.8,2.2,117
118,2.2,2.4,118
119,2.2,2.8,119
120,2.4,3.2,120
121,2.8,3.2,121
122,3.2,3.4,122
123,3.2,3.8,123
124,3.4,4.2,124
125,3.8,4.2,125
126,4.2,4.4,126
127,4.2,4.8,127
128,4.4,5.2,128
129,4.8,5.2,129
130,5.2,5.4,130
131,5.2,5.8,131
132,5.4,6.2,132
133,5.8,6.2,133
134,6.2,6.4,134
135,6.2,6.8,135
136,6.4,7.2,136
137,6.8,7.2,137
138,7.2,7.4,138
139,7.2,7.8,139
140,7.4,8.2,140
141,7.8,8.2,141
142,8.2,8.4,142
143,8.2,8.8,143
144,8.4,9.2,144
145,8.8,9.2,145
146,9.2,9.4,146
147,9.2,9.8,147
148,9.4,10.2,148
149,9.8,10.2,149
150,10.2,10.4,150
151,10.2,10.8,151
152,10.4,11.2,152
153,10.8,11.2,153
154,11.2,11.4,154
155,11.2,11.8,155
156,11.4,12.2,156
157,11.8,12.2,157
158,12.2,12.4,158
159,12.2,12.8,159
160,12.4,13.2,160
161,12.8,13.2,161
162,13.2,13.4,162
163,13.2,13.8,163
164,13.4,14.2,164
165,13.8,14.2,165
166,14.2,14.4,166
167,14.2,14.8,167
168,14.4,15.2,168
169,14.8,15.2,169
170,15.2,15.4,170
171,15.2,15.8,171
172,15.4,16.2,172
173,15.8,16.2,173
174,16.2,16.4,174
175,16.2,16.8,175
176,16.4,17.2,176
177,16.8,17.2,177
178,17.2,17.4,178
179,17.2,17.8,179
180,17.4,18.2,180
181,17.8,18.2,181
182,18.2,18.4,182
183,18.2,18.8,183
184,18.4,19.2,184
185,18.8,19.2,185
186,19.2,19.4,186
187,19.2,19.8,187
188,19.4,20.2,188
189,19.8,20.2,189
190,20.2,20.4,190
191,20.2,20.8,191
192,20.4,21.2,192
193,20.8,21.2,193
194,21.2,21.4,194
195,21.2,21.8,195
196,21.4,22.2,196
197,21.8,22.2,197
198,22.2,22.4,198
199,22.2,22.8,199
